Master Key,Dataset Key,Segment Type,Channel,Hashtag,Handle,Post Content,Retweets,Replies,Likes,Post Time,Post Url,Handle Image Url
11,2700,KOL,Weibo,[],饭菌菌_make_up,看哭惹,26,11,45,2018-05-07 23:42,https://www.weibo.com/3167311050/GfBqjAl3O?from=page_1005053167311050_profile&wvr=6&mod=weibotime,
11,2701,KOL,Weibo,[],haruru,[ Precious ] 18年6月号/ 夏天的名品白色小物图鉴 / ​​​​,22,6,53,2018-05-10 08:45,https://www.weibo.com/1655852940/GfXPubAKN?from=page_1005051655852940_profile&wvr=6&mod=weibotime,
11,2702,KOL,Weibo,"['#大桑真弓#', '#神山玛利亚#']",haruru,[ VERY ] 18年6月号/ 上品的搭配最适合运动鞋 /model: #大桑真弓# #神山玛利亚# ​​​​,22,14,45,2018-05-07 16:20,https://www.weibo.com/1655852940/GfywGhtZS?from=page_1005051655852940_profile&wvr=6&mod=weibotime,
11,2703,KOL,Weibo,[],美妆星球种草酱,CANDY PINK BOMB MAKEUP LOOK时隔两个月，sichen出新视频啦！这次是粉色系妆容sichen的视频每次都会把化的区域和手法都标明出来，很便利于学习٩(*´◒`*)۶ L美妆星球种草酱的秒拍视频 ​​​​,20,11,50,2018-05-10 21:44,https://www.weibo.com/1758428237/Gg2VGgELK?from=page_1005051758428237_profile&wvr=6&mod=weibotime,
11,2704,KOL,Weibo,[],美妆星球种草酱,太好看了,57,0,24,2018-05-06 14:42,https://www.weibo.com/1758428237/GfosBj3pV?from=page_1005051758428237_profile&wvr=6&mod=weibotime,
11,2705,KOL,Weibo,[],伪少年K先生,完美周末。 ​​​​,3,8,70,2018-05-05 19:28,https://www.weibo.com/1488577775/GfgUf0w9C?from=page_1005051488577775_profile&wvr=6&mod=weibotime,
11,2706,KOL,Weibo,[],饭菌菌_make_up,上海有哪家又可以吃火锅又可以吃龙虾的店吗！？宝贝们！！！兴奋地搓手手 ​​​​,5,40,36,2018-05-08 14:16,https://www.weibo.com/3167311050/GfH97dsbn?from=page_1005053167311050_profile&wvr=6&mod=weibotime,
11,2707,KOL,Weibo,"['#第71届戛纳电影节#', '#2018戛纳电影节#']",-IF时尚-,#第71届戛纳电影节# 范冰冰出发戛纳电影节✈️🎬，继龙袍、仙鹤装之后，今年红毯造型能有什么新突破？期待一下～@范冰冰 #2018戛纳电影节# ​​​​,0,12,68,2018-05-08 14:06,https://www.weibo.com/5321667468/GfH4YuOOh?from=page_1006065321667468_profile&wvr=6&mod=weibotime,
11,2708,KOL,Weibo,"['#MetGala2018#', '#Rihanna#', '#MET Gala#', '#蕾哈娜#']",-IF时尚-,#MetGala2018# #Rihanna# 八年来的 #MET Gala# 红毯造型，从来不会让人失望...... #蕾哈娜# ​​​​,6,10,64,2018-05-08 07:24,https://www.weibo.com/5321667468/GfErIE7bs?from=page_1006065321667468_profile&wvr=6&mod=weibotime,
11,2709,KOL,Weibo,['#COSMO星光#'],时尚COSMO,#COSMO星光# 时隔四年，Tory Burch再度携手国际超模@孙菲菲LZ 一同出席2018年纽约大都会艺术博物馆慈善舞会。红毯上孙菲菲身穿一袭定制黑色Chantilly蕾丝及真丝欧根纱拼接礼服长裙现身。裙背深V勾勒出性感线条，优雅蕾丝衬托曼妙身姿，举手投足间尽显大气优雅。 ​​​​,6,4,70,2018-05-08 09:46,https://www.weibo.com/1518966617/GfFnBoa9L?from=page_1002061518966617_profile&wvr=6&mod=weibotime,
